Neighborhood,RoofCount
Mott Haven,24
Lower East Side,21
East New York,19
Long Island City,16
Harlem,12
Fordham Heights,11
University Heights,11
East Harlem,10
Bedford Stuyvesant,9
Crown Heights,9
Chelsea,8
Brownsville,5
Far Rockaway,5
Fleetwood-Concourse Village,5
Upper West Side,5
Bushwick,4
High Bridge,4
Hunts Point,4
Morningside Heights,4
Morrisania,4
Murray Hill,4
Battery Park City,3
Bowery,3
Concourse Village,3
East Village,3
Flushing,3
Greenpoint,3
Kingsbridge Heights,3
Prospect Heights,3
Sunset Park,3
Washington Heights,3
Astoria,2
Brighton Beach,2
Concourse,2
Coney Island,2
Elmhurst,2
Fordham North,2
Gowanus,2
Greenwich Village,2
Hamilton Heights,2
Jamaica,2
Manhattan,2
Midtown,2
Park Slope,2
Rego Park,2
South Williamsburg,2
Sunnyside,2
Tompkinsville,2
West Farms,2
55 others,1