category,quote,who,when,Title
Alternative Facts,"It is not proven, it’s not science. It’s more of a religion than a science.",Steve King,2013,
Alternative Facts,The volcano that erupted over in Northern Europe [in 2010] actually poured more CO2 into the air in that single act of nature than all of humans have in something like the past 100 years.,Mike Huckabee,2013,
It still gets cold sometimes,"The President was wearing a trench coat it was so cold, but he's talking about global warming.",Steve Scalise,2013,Republican Congressman from Louisiana
It's not worth the money,The government can’t change the weather. So we can pass a bunch of laws or executive orders that will do nothing to change the climate or the weather but will devastate our economy.,Marco Rubio,2013,Republican Senator from Florida
We can never truly know,There are very few facts. There are a lot of theories,Tim Murphy,2013,Republican Congressman from Pennsylvania
We can never truly know,"I haven’t been shown any definitive proof yet that [climate change] is what caused [Sandy]. And this is just, listen, this is a distraction. I’ve got a place to rebuild here and people want to talk to me about esoteric theories.",Chris Christie,2013,
Alternative Facts,"The emissions that are being put in the air by that volcano are a thousand years’ worth of emissions that would come from all of the vehicles, all of the manufacturing in Europe.",Lisa Murkowski,2014,Republican Senator from Alaska
Alternative Facts,"Calling CO2 a pollutant is doing a disservice the country, and I believe a disservice to the world",Rick Perry,2014,US Energy Secretary
Alternative Facts,"How long will it take for the sea level to rise two feet? I mean, think about it, if your ice cube melts in your glass it doesn’t overflow; it’s displacement. I mean, this is some of the things they’re talking about mathematically and scientifically don’t make sense.",Steve Stockman,2014,Republican Congressman from Texas
Alternative Facts,The simple fact is that for the last 16 years the earth's temperature has not warmed,Tom Cotton,2014,Republican Senator from Arkansas
Alternative Facts,I do not believe that human activity is causing these dramatic changes to our climate the way these scientists are portraying it.,Marco Rubio,2014,
It still gets cold sometimes,We have 186 percent of normal snow pack. That’s global warming?,Mike Enzi,2014,Republican Senator from Wyoming
It still gets cold sometimes,And the problem with climate change is there’s never been a day in the history of the world in which the climate is not changing.,Ted Cruz,2014,Republican Senator from Texas
It's not worth the money,This very expensive global warming bullshit has got to stop,Donald Trump,2014,
It's not worth the money,"This is such a dangerous overreach in terms of the potential threat to our economy and our ability to restore those manufacturing jobs, I absolutely do think litigation needs to be on the table",Bobby Jindal,2014,
We can never truly know,"I’m not qualified to debate the science over climate change,",John Boehner,2014,Republican Congressman from Ohio
We can never truly know,I'm not a scientist,Mitch McConnell,2014,Republican Senator from Kentucky
We can never truly know,I do not believe that human activity is causing these dramatic changes to our climate the way these scientists are portraying it.,Marco Rubio,2014,Republican Senator from Florida
We can never truly know,I’m not sure anybody exactly knows why.,Rand Paul,2014,Republican Senator from Kentucky
We can never truly know,"I don’t know the answer to that question. I don’t think science does, either.",Paul Ryan,2014,Republican Congressman from Wisconsin
We can never truly know,"Climate change, as they have defined it, can never be disproved, because whether it gets hotter or whether it gets colder, whatever happens, they’ll say, well, it’s changing, so it proves our theory",Ted Cruz,2014,
We can never truly know,We haven’t seen a lot of warming lately. I remember back in the ’70s we were talking about the coming Ice Age.,Mike Pence,2014,
,I am sure not willing to put the federal government in charge of trying to micromanage the environment for the United States of America,John Cornyn,2014,Republican Senator from Texas
Alternative Facts,"""Carbon pollution is CO2, and that’s really not a pollutant; that’s a plant food, and it doesn’t harm anybody except that it might include temperature increases",Jeff Sessions,2015,
We can never truly know,"The temperature's either going up or down at any point in time, so it really is not a big deal",Ben Carson,2015,
It's not worth the money,"We are not going to destroy our economy, make America a harder place to create jobs, in order to pursue a policy that will do nothing, nothing to change our climate, to change our weather.",Marco Rubio,2015,
We can never truly know,for the people to say the science is decided on this is just really arrogant,Jeb Bush,2015,
We can never truly know,I think man has had an influence…the degree to what that influence is..?,Ryan Zinke,2015,
It's not worth the money,"We all understand the need for a healthy environment, but we represent a wide range of viewpoints regarding the extent to which man contributes to climate change and the costs and benefits of any proposed fix.",Scott Pruitt,2016,Environmental Protection Agency Secretary
It's not worth the money,"Donald Trump and I say, let’s follow the science, but for heaven’s sakes let’s not go rushing into the kind of restrictions on our economy that are putting Americans out of work and, frankly, are driving jobs out of this country.",Mike Pence,2016,
We can never truly know,"Scientists continue to disagree about the degree and extent of global warming and its connection to the actions of mankind. That debate should be encouraged — in classrooms, public forums, and the halls of Congress. It should not be silenced with threats of prosecution. Dissent is not a crime.""",Scott Pruitt,2016,Environmental Protection Agency Secretary
We can never truly know,the underlying cause of these climactic shifts is ultimately not well-understood and is a matter of vigorous debate. ,Mike Crapo,2016,
We can never truly know,"For everybody who thinks it’s warming, I can find somebody who thinks it isn’t",Mitch McConnell,,
We can never truly know,There are scientists who think lots of different things about climate change.,Mike Pompeo,2013,
It's not worth the money,We need to be able to do our jobs and continue to recruit companies and recruit jobs without additional mandates,Nikki Haley,2015,